Dependency from;Dependency to;Dependency type;Sub type;Line;Direct/Indirect;Inheritance Related;Inner Class Related;Used Entity (variable or method)
org.architecturemining.program.example.band.BandMember;org.architecturemining.program.example.band.Song;Declaration;Parameter;20;Direct;false;false;
org.architecturemining.program.example.band.BandMember;org.architecturemining.program.example.band.Song;Reference;Type of Variable;32;Direct;false;false;org.architecturemining.program.example.band.BandMember.play(Song).song
org.architecturemining.program.example.band.BandMember;org.architecturemining.program.example.band.instruments.Drums;Reference;Type Cast;23;Direct;false;false;
org.architecturemining.program.example.band.BandMember;org.architecturemining.program.example.band.instruments.Drums;Import;;5;Direct;false;false;
org.architecturemining.program.example.band.BandMember;org.architecturemining.program.example.band.instruments.Instrument;Reference;Type;15;Direct;false;false;
org.architecturemining.program.example.band.BandMember;org.architecturemining.program.example.band.instruments.Instrument;Declaration;Local Variable;31;Direct;false;false;
org.architecturemining.program.example.band.BandMember;org.architecturemining.program.example.band.instruments.Instrument;Call;Interface Method;32;Direct;false;false;org.architecturemining.program.example.band.instruments.Instrument.makeMusic(Song)
org.architecturemining.program.example.band.BandMember;org.architecturemining.program.example.band.instruments.Instrument;Import;;6;Direct;false;false;
org.architecturemining.program.example.band.BandMember;org.architecturemining.program.example.band.instruments.Instrument;Reference;Type;9;Direct;false;false;
org.architecturemining.program.example.band.BandMember;xLibraries.java.util.Map;Declaration;Parameter;15;Direct;false;false;
org.architecturemining.program.example.band.BandMember;xLibraries.java.util.Map;Reference;Type of Variable;17;Direct;false;false;org.architecturemining.program.example.band.BandMember.instruments
org.architecturemining.program.example.band.BandMember;xLibraries.java.util.Map;Call;Library Method;23;Direct;false;false;
org.architecturemining.program.example.band.BandMember;xLibraries.java.util.Map;Call;Library Method;31;Direct;false;false;
org.architecturemining.program.example.band.BandMember;xLibraries.java.util.Map;Call;Library Method;39;Direct;false;false;
org.architecturemining.program.example.band.BandMember;xLibraries.java.util.Map;Import;;3;Direct;false;false;
org.architecturemining.program.example.band.BandMember;xLibraries.java.util.Map;Declaration;Instance Variable;9;Direct;false;false;
org.architecturemining.program.example.band.BandPractice;org.architecturemining.program.example.band.Band;Call;Constructor;37;Direct;false;false;org.architecturemining.program.example.band.Band.Band(List,Set)
org.architecturemining.program.example.band.BandPractice;org.architecturemining.program.example.band.Band;Declaration;Local Variable;37;Direct;false;false;
org.architecturemining.program.example.band.BandPractice;org.architecturemining.program.example.band.Band;Call;Instance Method;39;Direct;false;false;org.architecturemining.program.example.band.Band.practice()
org.architecturemining.program.example.band.BandPractice;org.architecturemining.program.example.band.BandMember;Reference;Type;24;Direct;false;false;
org.architecturemining.program.example.band.BandPractice;org.architecturemining.program.example.band.BandMember;Call;Constructor;29;Direct;false;false;org.architecturemining.program.example.band.BandMember.BandMember(Map)
org.architecturemining.program.example.band.BandPractice;org.architecturemining.program.example.band.BandMember;Call;Constructor;35;Direct;false;false;org.architecturemining.program.example.band.BandMember.BandMember(Map)
org.architecturemining.program.example.band.BandPractice;org.architecturemining.program.example.band.Song;Reference;Type;17;Direct;false;false;
org.architecturemining.program.example.band.BandPractice;org.architecturemining.program.example.band.Song;Call;Constructor;20;Direct;false;false;org.architecturemining.program.example.band.Song.Song(int,String)
org.architecturemining.program.example.band.BandPractice;org.architecturemining.program.example.band.Song;Call;Constructor;21;Direct;false;false;org.architecturemining.program.example.band.Song.Song(int,String)
org.architecturemining.program.example.band.BandPractice;org.architecturemining.program.example.band.Song;Call;Constructor;22;Direct;false;false;org.architecturemining.program.example.band.Song.Song(int,String)
org.architecturemining.program.example.band.BandPractice;org.architecturemining.program.example.band.instruments.Bass;Call;Constructor;32;Direct;false;false;
org.architecturemining.program.example.band.BandPractice;org.architecturemining.program.example.band.instruments.Bass;Import;;7;Direct;false;false;
org.architecturemining.program.example.band.BandPractice;org.architecturemining.program.example.band.instruments.Drums;Call;Constructor;27;Direct;false;false;
org.architecturemining.program.example.band.BandPractice;org.architecturemining.program.example.band.instruments.Drums;Import;;8;Direct;false;false;
org.architecturemining.program.example.band.BandPractice;org.architecturemining.program.example.band.instruments.Instrument;Reference;Type;26;Direct;false;false;
org.architecturemining.program.example.band.BandPractice;org.architecturemining.program.example.band.instruments.Instrument;Reference;Type;31;Direct;false;false;
org.architecturemining.program.example.band.BandPractice;org.architecturemining.program.example.band.instruments.Instrument;Import;;9;Direct;false;false;
org.architecturemining.program.example.band.BandPractice;org.architecturemining.program.example.band.instruments.Vocals;Import;;10;Direct;false;false;
org.architecturemining.program.example.band.BandPractice;org.architecturemining.program.example.band.instruments.Vocals;Call;Constructor;33;Direct;false;false;
org.architecturemining.program.example.band.BandPractice;xLibraries.java.util.ArrayList;Call;Library Method;17;Direct;false;false;
org.architecturemining.program.example.band.BandPractice;xLibraries.java.util.ArrayList;Declaration;Local Variable;17;Direct;false;false;
org.architecturemining.program.example.band.BandPractice;xLibraries.java.util.ArrayList;Call;Library Method;20;Direct;false;false;
org.architecturemining.program.example.band.BandPractice;xLibraries.java.util.ArrayList;Call;Library Method;21;Direct;false;false;
org.architecturemining.program.example.band.BandPractice;xLibraries.java.util.ArrayList;Call;Library Method;22;Direct;false;false;
